n,scenario,comparisons,time
65000,random,15.06,3.4592e-07
66000,begin,16,1.3e-07
66000,middle,16,1.3e-07
66000,end,17,1.4e-07
66000,missing,16,4.11e-07
66000,random,15.08,2.9316e-07
67000,begin,16,9.1e-08
67000,middle,16,1.2e-07
67000,end,17,1.21e-07
67000,missing,16,1.2e-07
67000,random,15.12,2.8818e-07
68000,begin,16,1.01e-07
68000,middle,16,1.2e-07
68000,end,17,1.2e-07
68000,missing,16,1.2e-07
68000,random,14.94,3.2616e-07
69000,begin,16,9e-08
69000,middle,16,1e-07
69000,end,17,1.3e-07
69000,missing,16,1.1e-07
69000,random,15.2,3.2638e-07
70000,begin,16,1.11e-07
70000,middle,16,1.1e-07
70000,end,17,1.2e-07
70000,missing,16,1.1e-07
70000,random,14.94,3.4488e-07
71000,begin,16,1.1e-07
71000,middle,16,1e-07
71000,end,17,1.5e-07
71000,missing,16,1.2e-07
71000,random,15.42,1.9744e-07
72000,begin,16,1.1e-07
72000,middle,16,1.2e-07
72000,end,17,1.31e-07
72000,missing,16,1.1e-07
72000,random,15.52,1.9144e-07
73000,begin,16,1.11e-07
73000,middle,16,1.21e-07
73000,end,17,1.1e-07
73000,missing,16,1.1e-07
73000,random,15.32,1.9092e-07
74000,begin,16,1.1e-07
74000,middle,16,1.3e-07
74000,end,17,1.11e-07
74000,missing,16,1.2e-07
74000,random,14.96,1.896e-07
75000,begin,16,6.51e-07
75000,middle,16,1e-07
75000,end,17,1.2e-07
75000,missing,16,1.2e-07
75000,random,15.62,2.0782e-07
76000,begin,16,9.1e-08
76000,middle,16,1.6e-07
76000,end,17,2e-07
76000,missing,16,1.4e-07
76000,random,15.12,3.169e-07
77000,begin,16,3.11e-07
77000,middle,16,2.8e-07
77000,end,17,2.41e-07
77000,missing,16,3.41e-07
77000,random,15.3,2.6754e-07
78000,begin,16,2.71e-07
78000,middle,16,2.1e-07
78000,end,17,2.31e-07
78000,missing,16,4.81e-07
78000,random,15.4,4.8578e-07
79000,begin,16,1.1e-07
79000,middle,16,1.41e-07
79000,end,17,1.01e-07
79000,missing,16,1.3e-07
79000,random,15.22,2.0452e-07
80000,begin,16,2.2e-07
