n,k,comparisons,swaps
400,200,497,358
400,200,1155,909
400,200,1172,918
400,200,1168,921
400,200,1113,861
400,200,1112,871
400,200,1099,841
400,200,602,468
400,200,1142,903
400,200,1158,909
400,200,1159,908
400,200,1088,842
400,200,1173,905
400,200,1177,907
400,200,1166,912
400,200,1155,906
400,200,1063,823
400,200,1178,908
400,200,1155,903
400,200,1145,897
400,200,1121,863
400,200,1133,878
400,200,1121,879
400,200,1043,781
400,200,1153,913
400,200,1197,944
400,200,1146,899
400,200,993,740
400,200,1179,933
400,200,1168,912
400,200,1098,846
400,400,1116,865
400,400,1101,883
400,400,1054,805
400,400,1129,897
400,400,1088,850
400,400,1117,884
400,400,1096,848
400,400,1080,833
400,400,1085,858
400,400,1105,878
400,400,1147,889
400,400,1059,831
400,400,1164,914
400,400,1121,867
400,400,1113,854
400,400,1152,910
400,400,1114,878
400,400,1148,888
400,400,1152,926
400,400,1075,830
400,400,1074,837
400,400,1096,871
400,400,1140,910
400,400,1175,912
400,400,1005,767
400,400,1078,865
400,400,1133,883
400,400,1075,834
400,400,1105,858
400,400,1119,884
400,400,966,752
400,400,1098,873
400,400,1125,893
400,400,1088,843
400,400,1028,799
400,400,1098,853
400,400,1098,871
400,400,1135,887
400,400,1210,934
400,400,1029,817
400,400,1096,849
400,400,1091,874
400,400,1138,871
400,400,1150,899
400,400,1045,804
400,400,1082,852
400,400,1094,866
400,400,1048,796
400,400,1145,914
400,400,1116,896
500,1,1222,911
500,1,1387,1061
500,1,1419,1103
500,1,1460,1133
500,1,1396,1070
500,1,1289,979
500,1,1452,1136
500,1,1456,1159
500,1,1460,1165
500,1,1439,1134
500,1,1361,1038
500,1,1361,1036
500,1,1372,1062
500,1,1393,1076
500,1,1335,994
500,1,1382,1061
500,1,1428,1124
500,1,1414,1090
500,1,1441,1118
500,1,1404,1091
500,1,1393,1077
500,1,1487,1185
500,1,1293,962
500,1,1394,1069
500,1,1395,1066
500,1,1365,1049
500,1,1477,1171
500,1,1257,949
500,1,1489,1178
500,1,1511,1211
500,1,1408,1079
500,1,1412,1100
500,1,1294,973
500,1,1403,1088
500,1,1295,986
500,1,1342,1031
500,1,1459,1133
500,1,1307,992
500,1,1263,946
500,1,1294,993
500,1,1427,1099
500,1,1426,1099
500,1,1485,1177
500,1,1448,1140
500,1,1441,1123
500,1,1432,1117
500,1,1422,1110
500,1,1429,1119
500,1,1350,1030
500,1,1434,1115
500,250,1318,1008
500,250,1498,1190
500,250,1461,1154
500,250,1471,1163
500,250,1501,1186
500,250,1516,1183
500,250,1471,1148
500,250,1481,1169
500,250,1482,1149
500,250,1431,1127
500,250,1497,1169
500,250,759,577
500,250,1381,1040
500,250,730,540
500,250,1465,1157
500,250,1481,1185
500,250,1481,1145
500,250,1437,1121
500,250,1457,1140
500,250,1436,1134
500,250,1507,1174
500,250,1484,1165
500,250,1463,1147
500,250,1496,1179
500,250,1483,1168
500,250,1385,1084
500,250,1479,1176
500,250,1487,1195
500,250,1452,1151
500,250,1426,1104
500,250,1572,1221
500,250,1346,1042
500,250,1430,1100
500,250,1460,1156
500,250,1440,1114
500,250,1400,1069
500,250,1469,1160
500,250,1376,1077
500,250,1438,1113
500,250,1400,1069
500,250,1465,1157
500,250,1481,1173
500,250,1436,1108
500,250,1446,1132
500,250,1426,1126
500,250,1449,1123
500,250,1419,1127
500,250,772,593
500,250,1323,1002
500,250,1453,1123
500,500,1408,1092
500,500,1299,1002
500,500,1396,1099
500,500,1398,1096
500,500,1477,1182
500,500,1374,1087
500,500,1430,1121
500,500,1418,1092
500,500,1424,1133
500,500,1407,1119
500,500,1422,1104
500,500,1291,1001
500,500,1396,1076
500,500,1398,1081
500,500,1435,1146
500,500,1281,965
500,500,1482,1134
500,500,1462,1167
500,500,1482,1157
500,500,1366,1054
500,500,1476,1167
500,500,1277,983
500,500,1334,1012
500,500,1465,1163
500,500,1405,1100
500,500,1405,1115
500,500,1400,1076
500,500,1319,1025
500,500,1384,1118
500,500,1421,1119
500,500,1303,1009
500,500,1456,1163
500,500,1374,1054
500,500,1405,1118
500,500,1446,1141
500,500,1403,1082
500,500,1448,1102
500,500,1234,969
500,500,1439,1140
